24H	Urine 24 Hour
24HEFF	Effluent 24 Hour
24HS	Stool 24 Hour
ABD	Abdominal
ABS	Abscess
ABSB	Bartholin Abscess
ABSDEN	Abscess, Dental
ABSF	Abscess Fluid
ABSPEL	Abscess, Pelvic
ADND	Adenoid
ADRNLGLD	Adrenal Gland
ADRNLLFT	Adrenal Gland, Left
ADRNLRHT	Adrenal Gland, Right
ALBOS	Allograft Bone Swab
ALFLD	Allograft Fluid
ALSWB	Allograft Swab
AMN	Amniotic fluid
AMNSC	Amniotic Sac
AMP	Amputation Site
ANGI	Catheter Tip, Angio
ANGM	Angioma
ANK	Ankle
ANKLT	Ankle, Left
ANKRT	Ankle, Right
ANL	Anal
ANTLBRSH	Antral Brush
ANTRLBSY	Gastric Antral Biopsy
ANTW	Lavage, Antral
AORV	Aortic valve
APPEN	Appendix
AQUFLD	Aqueous Fluid
ARM	Arm
ARMLT	Arm, Left
ARMRT	Arm, Right
ART	Artery
ARTC	Catheter Tip, Arterial
ARTFST	Arteriovenous Fistula
ASC	Ascitic Fluid
ASP	Aspirate
ATMSPHR	Atmosphere
AUBOS	Autograft Bone Swab
AUDCN	Auditory Canal
AUGS	Auger Suction
AUSWB	Autograft Swab
AUTP	Autopsy
AX	Axilla
AXGRN	Axilla+Groin
AXLT	Axilla, Left
AXRT	Axilla, Right
BACK	Back
BAL	Bronchial Alveolar Lavage
BALLTLWL	Bronchial Alveolar Lavage, Left Lower Lobe
BALLTUPL	Bronchial Alveolar Lavage, Left Upper Lobe
BALRTLWL	Bronchial Alveolar Lavage, Right Lower Lobe
BALRTMDL	Bronchial Alveolar Lavage, Right Middle Lobe
BALRTUPL	Bronchial Alveolar Lavage, Right Upper Lobe
BBL	Blood bag
BC	Buffy Coat
BDY	Whole body
BIDCT	Bile Duct
BIFL	Bile fluid
BILST	Biliary Stent
BIODEV	Biomedical Device
BITE	Bite
BLAD	Bladder
BLADA	Bladder Aspirate
BLADW	Bladder Washing
BLD	Whole blood
BLDA	Blood arterial
BLDAP	Blood Arterial, Pulmonary
BLDBC	Bld.buffy coat
BLDC	Blood capillary
BLDCO	Cord blood
BLDCOA	Cord blood arterial
BLDCOV	Cord blood venous
BLDCRCT	Circuit Blood
BLDCRRT	BldCRRT
BLDCU	Blood Culture
BLDD	Blood dot
BLDF	Fetal Whole Blood
BLDFC	Fetal Blood Capillary
BLDMV	Blood mixed venous
BLDPLS	Blood+Plasma
BLDSERPLAS	Blood+Ser/Plas
BLDTIS	Blood/Tissue
BLDV	Blood venous
BLDVD	Blood Venous, Distal
BLIST	Blister
BON	Bone
BONALL	Bone Allograft
BONAU	Bone Autograft
BOW	Bowel
BPH	Basophiles
BPU	Blood product unit
BRAIN	Brain
BRN	Burn
BRO	Bronchial
BROA	Bronchial Aspirate
BROB	Bronchial brush
BROBLT	Bronchial Brush, Left
BROBRT	Bronchial Brush, Right
BRON	Bronchus
BROW	Bronchial washing
BROWLT	Bronchial Washing, Left
BROWRT	Bronchial Washing, Right
BRST	Breast
BRSTCYSTFLD	Breast Cyst Fluid
BRSTLT	Breast, Left
BRSTMSSLT	Breast Mass, Left
BRSTMSSRT	Breast Mass, Right
BRSTRT	Breast, Right
BRTH	Breath
BS	Bedsore
BUCC	Buccal
BUCORLNSL	Buccal+Oral+Nasal
BURSA	Bursa
BUTT	Buttock
BUTTLT	Buttock, Left
BUTTRT	Buttock, Right
BX	Biopsy
BXBR	Biopsy, Brain
BXDU	Biopsy, Duodenal
BXMSCL	Biopsy, Muscle
BXPLR	Biopsy, Pleura
CALC	Calculus
CALF	Calf
CALFLT	Calf, Left
CALFRT	Calf, Right
CATBIT	Cat Bite
CATH	Catheter Site
CATHD	Catheter, Dialysis Site
CDM	Cardiac muscle
CHAN	Chancroid
CHIN	Chin
CHK	Cheek
CHRN	Chorion
CHST	Chest
CLAV	Clavicle
CLITO	Clitoral
CNL	Cannula
COCCA	Coccyx Abscess
COCCU	Coccyx Ulcer
COCCY	Coccyx
COL	Colostrum
COLODR	Colostomy Drainage
COLON	Colon
COLOS	Colostomy Stoma
CONJ	Conjunctiva
CONJS	Conjunctival Scraping
CONL	Contact lens Case/Solution
CONLEN	Contact Lens
CORN	Cornea
CORND	Cornea, Donor
CORS	Corneal Scraping
CRVA	Cervical Vaginal
CSF	Cerebral spinal fluid
CSFSH	CSF Shunt
CTP	Catheter tip
CTSWB	Swab, Chest Tube Site
CUDES	Cul de Sac
CUR	Curettage
CVC	Catheter, Central Venous
CVM	Cervical mucus
CVPOSTP	Cervical, Post Partum
CVTY	Cavity
CVX	Cervix
CVXENDCVX	Cervical/Endocervical
CXSW	Cervical Swab
CYLE	Cystocele
CYST	Cyst
DCS	Sputum, Deep Cough
DCT	Duct
DCVC	Catheter-distal, Central Venous
DDIAC	Catheter-distal, Dialysis (CV VHDF)
DECU	Decubitus Ulcer
DESCOL	Descending Colon
DIAC	Catheter, Dialysis (CV VHDF)
DIAF	Dialysis fluid
DISGE	Discharge
DIVR	Diverticulum
DLYST	Dialysate
DOGBIT	Dog Bite
DPHGM	Diaphragm
DRN	Drain
DRNFLD	Drainage Fluid
DRNG	Drainage, Tube
DUFL	Duodenal fluid
DUOD	Duodenum
EAR	Ear
EARDGE	Ear Discharge
EARLB	Ear Lobe
EARLT	Ear, Left
EARRT	Ear, Right
EARW	Ear wax (cerumen)
ECTCRVX	Ectocervix
EFF	Effluent
EISO	Environmental, Isolate
ELB	Elbow
ELBLT	Elbow, Left
ELBRT	Elbow, Right
ELT	Electrode
ELU	Eluate
ENDC	Endocardium
ENDCVX	Endocervix
ENDM	Endometrium
ENDO	Endotracheal tube
ENDOT	Endotracheal
EOS	Eosinophils
EPID	Epididymis
EPIDUR	Epidural
EPIGL	Epiglottis
ESO	Esophagus
ESOBSH	Esophageal Brush
ESTCHNTB	Eustachian Tube
ETA	Endotracheal Aspirate
ETHMO	Ethmoid
EXG	Exhaled gas (=breath)
EXTVNTDRNTP	External Ventricular Drain Tip
EYBRW	Eyebrow
EYE	Eye
EYELT	Eye, Left
EYERT	Eye, Right
EYLD	Eyelid
FACA	Facalith
FACE	Face
FALLT	Fallopian Tube
FASC	Fascia
FASCL	Fascia Lata
FBD	Foreign Body
FBL	Fibula
FCNCL	Furuncle
FDNGTB	Feeding Tube
FETUS	Fetus
FETUSA	Fetus A
FETUSB	Fetus B
FETUSC	Fetus C
FETUSD	Fetus D
FETUSE	Fetus E
FETUSES	Fetuses
FIB	Fibroblasts
FIST	Fistula
FLLTBLT	Fallopian Tube, Left
FLLTBRT	Fallopian Tube, Right
FLNK	Flank
FLSRPL	Body fld+Ser/Plas
FLT	Filter
FLU	Body fluid
FLUID	Fluid
FMHD	Femoral Head
FMHDLFT	Femoral Head, Left
FMHDRGHT	Femoral Head, Right
FMR	Femur
FNGR	Finger
FNGRNL	Finger Nail
FNNA	Fine Needle Aspirate
FOOT	Foot
FOOTLT	Foot, Left
FOOTRT	Foot, Right
FRARM	Forearm
FRHD	Forehead
FRSK	Foreskin
FVUR	First Void Urine
GANG	Ganglion Cyst
GAS	Gas
GASA	Gastric Aspirate
GASFS	Gastric Fundus Structure
GAST	Gastric fluid/contents
GBBD	Gall Bladder/Bile Duct
GEN	Genital
GENC	Genital cervix
GENEN	Genital endocervix
GENL	Genital lochia
GENU	Genital ulcer
GENV	Genital vaginal
GENVUL	Genital Vulvar
GLLSTN	Gallstone
GLNDB	Bartholin gland
GRAFT	Graft
GRN	Groin
GRNLT	Groin, Left
GRNRT	Groin, Right
GSPEC	Biopsy, Gastric
GSTRCBRSH	Gastric Brushings
GTUBE	Tube, Gastric
GUM	Gum
HAND	Hand
HANDLT	Hand, Left
HANDRT	Hand, Right
HAR	Hair
HARDW	Hardware
HEAD	Head
HEEL	Heel
HEELLT	Heel, Left
HEELRT	Heel, Right
HICK	Catheter Site, Hickman
HICKD	Catheter-distal, Hickman
HICKP	Catheter-proximal, Hickman
HIP	Hip
HIPLT	Hip, Left
HIPRT	Hip, Right
HMRS	Humerus
HRFCL	Hair Follicle
HRN	Hernia
HRT	Heart
HRTV	Heart Valve
HTMA	Hematoma
HUMBT	Human Bite
HYDRO	Hydrocele
ICRG	Intracorneal Ring Implant
IDC	Catheter Tip, Indwelling
IHG	Inhaled Gas
ILCRT	Iliac Crest
ILEAS	Ileostomy
ILEU	Ileum
ILLPCH	Ileal Pouch
ILSTMFLD	Ileostomy Fluid
ILVL	Illeocecal Valve
IMP	Implant
INCI	Site, Incision/Surgical
INS	Insect
INSRT	Insertion Site
INT	Introital
INTC	Intermittent Catheter
INTN	Intestine
INTREC	Introital/Rectal
INTROCLN	Intraocular Lens
INTROD	Introducer
INTRODD	Introducer-distal
INTRODP	Introducer-proximal
INTRSTLFLD	Interstitial Fluid
ISLT	Isolate
ISLTSPEC	Isolate/Specimen
IT	Intubation tube
IUD	Intra-Uterine Device
IVCAT	Catheter Tip, IV
IVSITE	Intravenous Site
JAW	Jaw
JEJU	Jejunum
JEJUNOS	Jejunostomy Stoma
JNT	Joint
JNTFLD	Fluid, Joint
JTUBE	Jejunostomy Tube
KID	Kidney
KIDA	Kidney Aspirate
KIDLT	Kidney, Left
KIDRT	Kidney, Right
KJSF	Knee Joint Synovial Fluid
KNEE	Knee
KNEELT	Knee, Left
KNEERT	Knee, Right
KNKL	Knuckle
LAB	Labia
LAC	Lacrimal Stone
LAM	Lamella
LARY	Larynx
LAVG	Lavage, Bronchial
LAVGG	Lavage, Gastric
LAVGP	Lavage, Peritoneal
LAVPG	Lavage, Pre-Bronch
LEG	Leg
LEGLT	Leg, Left
LEGRT	Leg, Right
LESN	Lesion
LIGMT	Ligament
LIP	Lip
LIPMA	Lipoma
LIQ	Liquid NOS
LIV	Liver
LLLLW	Lung, Left Lower Lobe Washing
LLULW	Lung, Left Upper Lobe Washing
LN	Line
LNA	Line arterial
LNV	Line venous
LNVEN	Ventricular Line
LOUSE	Louse
LRLLW	Lung, Right Lower Lobe Washing
LRMLW	Lung, Right Middle Lobe Washing
LRT	Lower Respiratory Tract
LRULW	Lung, Right Upper Lobe Washing
LUNG	Lung
LUNGLT	Lung, Left
LUNGRT	Lung, Right
LVBX	Liver Biopsy
LYM	Lymphocytes
LYMNOD	Lymph Node
MAC	Macrophages
MAR	Marrow
MASS	Mass
MAXSIN	Maxillary Sinus
MBLD	Menstrual blood
MEC	Meconium
MEDNA	Mediastinal Needle Aspirate
MENIS	Meniscus
MESTNM	Mediastinum
MILK	Breast milk
MILKPP	Breast Milk, Post Pasteurization
MLK	Milk
MNDBL	Mandible
MNNGS	Meninges
MOUTH	Mouth
MTUR	Mid Turbinate
MUSC	Muscle
MXLL	Maxilla
NAEP	Nucleic Acid Extraction Product
NAGPS	Nasal+Axilla+Groin+Perineum Swabs
NAGS	Nasal+Axilla+Groin Swabs
NAIL	Nail
NARES	Nares
NASAL	Nasal
NASASP	Nasopharyngeal Aspirate
NASOPH	Nasopharynx
NASOPHS	Nasopharyngeal Swab
NASS	Nasal Septum
NAST	Nasal Turbinate
NASTHRT	Nasopharyngeal+Throat
NCBBX	Needle Core Breast Biopsy
NECK	Neck
NERV	Nerve
NEUR	Neuroma
NFFA	Nuchal Fold, Fetus A
NFFB	Nuchal Fold, Fetus B
NFFC	Nuchal Fold, Fetus C
NFFD	Nuchal Fold, Fetus D
NFFE	Nuchal Fold, Fetus E
NGASP	Nasogastric Aspirate
NIP	Nipple
NIPDIS	Nipple Discharge
NIPDISLT	Nipple Discharge, Left
NIPDISRT	Nipple Discharge, Right
NLBD	Nail Bed
NMUS	Nasal+Mouth+Umbilical Swabs
NOS	Nose (nasal passage)
NOSLT	Nose, Left
NOSRT	Nose, Right
NPHSTMYST	Nephrostomy Site
