TR10000-8	11-Deoxycortisol	Chem	ACTIVE	\N	\N	\N	100000.242.900
TR10001-6	Acetylcholinesterase	Chem	ACTIVE	\N	\N	\N	100000.245.700
TR10002-4	Acid Phosphatase	Chem	ACTIVE	\N	\N	\N	\N
TR10003-2	Acid Phosphatase Prostatic	Chem	ACTIVE	\N	\N	\N	\N
TR10004-0	Addis Count	Chem	ACTIVE	\N	\N	\N	\N
TR10005-7	Adenosine Deaminase	Chem	ACTIVE	\N	\N	\N	\N
TR10006-5	Adenosine Monophosphate Cyclic	Chem	ACTIVE	\N	\N	\N	\N
TR10007-3	17-Hydroxycorticosteroids	Chem	ACTIVE	\N	\N	\N	100000.242.950
TR10008-1	Corticotropin	Chem	ACTIVE	\N	\N	\N	100000.242.850
TR10009-9	Alanine Aminotransaminase	Chem	ACTIVE	\N	\N	\N	100000.168.000
TR10010-7	Albumin	Chem	ACTIVE	2022-12-15	\N	\N	100000.186.000
TR10011-5	Albumin Qualitative	Chem	ACTIVE	\N	\N	\N	\N
TR10012-3	Alcohol Fractionation	Chem	ACTIVE	\N	\N	\N	100000.502.000
TR10013-1	Alcohol Screen	Chem	ACTIVE	\N	\N	\N	\N
TR10014-9	Aldolase	Chem	ACTIVE	\N	\N	\N	100000.221.000
TR10015-6	Aldosterone	Chem	ACTIVE	\N	\N	\N	100000.158.000
TR10016-4	Alkaline Phosphatase	Chem	ACTIVE	2022-12-15	\N	\N	100000.169.000
TR10017-2	Alkaline Phosphatase Fractionation	Chem	ACTIVE	\N	\N	\N	100000.169.900
TR10018-0	Alpha 1-Acid Glycoprotein	Chem	ACTIVE	\N	\N	\N	100000.193.000
TR10019-8	17-Hydroxyprogesterone	Chem	ACTIVE	\N	\N	\N	100000.243.800
TR10020-6	Alpha Keto Acids	Chem	ACTIVE	\N	\N	\N	\N
TR10021-4	Alpha Fetoprotein	Chem	ACTIVE	\N	\N	\N	100000.245.500
TR10022-2	Alpha 2-Macroglobulin	Chem	ACTIVE	\N	\N	\N	\N
TR10023-0	Alprazolam	Chem	ACTIVE	\N	\N	\N	\N
TR10024-8	Aluminum	Chem	ACTIVE	\N	\N	\N	100000.380.000
TR10025-5	Amikacin Peak	Chem	ACTIVE	\N	\N	\N	100000.551.000
TR10026-3	Amikacin Random	Chem	ACTIVE	\N	\N	\N	100000.550.000
TR10027-1	Amikacin Trough	Chem	ACTIVE	\N	\N	\N	100000.552.000
TR10028-9	Amino Acid Nitrogen	Chem	ACTIVE	\N	\N	\N	\N
TR10029-7	Amino Acids	Chem	ACTIVE	\N	\N	\N	100000.446.200
TR10030-5	Amino Acids Screen	Chem	ACTIVE	\N	\N	\N	\N
TR10031-3	Amiodarone	Chem	ACTIVE	\N	\N	\N	100000.553.000
TR10032-1	Amitriptyline	Chem	ACTIVE	\N	\N	\N	100000.554.000
TR10033-9	17-Ketogenic Steroids	Chem	ACTIVE	\N	\N	\N	\N
TR10034-7	Ammonia	Chem	ACTIVE	\N	\N	\N	100000.222.000
TR10035-4	Amniotic Fluid Analysis	Chem	ACTIVE	\N	\N	\N	\N
TR10036-2	Amobarbital	Chem	ACTIVE	\N	\N	\N	\N
TR10037-0	Amphetamine Screen	Chem	ACTIVE	\N	\N	\N	100000.503.000
TR10038-8	Amylase	Chem	ACTIVE	\N	\N	\N	100000.235.000
TR10039-6	Amylase Fractionation	Chem	ACTIVE	\N	\N	\N	100000.236.000
TR10040-4	Androstenedione	Chem	ACTIVE	\N	\N	\N	100000.243.000
TR10041-2	Angiotensin Converting Enzyme	Chem	ACTIVE	\N	\N	\N	100000.223.000
TR10042-0	Vasopressin	Chem	ACTIVE	\N	\N	\N	100000.183.900
TR10043-8	Antimony	Chem	ACTIVE	\N	\N	\N	100000.381.000
TR10044-6	17-Ketosteroids	Chem	ACTIVE	\N	\N	\N	100000.243.900
TR10045-3	Apolipoprotein A I	Chem	ACTIVE	\N	\N	\N	100000.312.000
TR10046-1	Apolipoprotein B	Chem	ACTIVE	\N	\N	\N	100000.313.000
TR10047-9	Apolipoprotein C III	Chem	ACTIVE	\N	\N	\N	\N
TR10048-7	Apolipoprotein E	Chem	ACTIVE	\N	\N	\N	\N
TR10049-5	Arsenic	Chem	ACTIVE	\N	\N	\N	100000.371.000
TR10050-3	Ascorbate (Vitamin C)	Chem	ACTIVE	2011-12-12	\N	\N	100000.218.900
TR10051-1	Aspartate Aminotransferase	Chem	ACTIVE	\N	\N	\N	100000.167.000
TR10052-9	Barbiturates Fractionation	Chem	ACTIVE	\N	\N	\N	\N
TR10053-7	Barbiturates Screen	Chem	ACTIVE	\N	\N	\N	100000.504.000
TR10054-5	Barium	Chem	ACTIVE	\N	\N	\N	\N
TR10055-2	17-Ketosteroids Fractionated	Chem	ACTIVE	\N	\N	\N	\N
TR10056-0	Benzodiazepine Screen	Chem	ACTIVE	\N	\N	\N	100000.505.000
TR10057-8	Benztropine	Chem	ACTIVE	\N	\N	\N	\N
TR10058-6	Beryllium	Chem	ACTIVE	\N	\N	\N	\N
TR10059-4	Beta Transferrin	Chem	ACTIVE	\N	\N	\N	\N
TR10060-2	Beta 2-Microglobulin	Chem	ACTIVE	\N	\N	\N	100000.294.000
TR10061-0	Beta Hydroxybutyrate	Chem	ACTIVE	\N	\N	\N	100000.537.000
