10000-8	R wave duration.lead AVR	ACTIVE	\N	\N	\N
10001-6	R wave duration.lead I	ACTIVE	\N	\N	\N
10002-4	R wave duration.lead II	ACTIVE	\N	\N	\N
100029-8	Cancer Related Multigene Analysis; Molgen	ACTIVE	2023-03-31	\N	\N
10003-2	R wave duration.lead III	ACTIVE	\N	\N	\N
10004-0	R wave duration.lead V1	ACTIVE	\N	\N	\N
10005-7	R wave duration.lead V2	ACTIVE	\N	\N	\N
10006-5	R wave duration.lead V3	ACTIVE	\N	\N	\N
10007-3	R wave duration.lead V4	ACTIVE	\N	\N	\N
10008-1	R wave duration.lead V5	ACTIVE	\N	\N	\N
10009-9	R wave duration.lead V6	ACTIVE	\N	\N	\N
10010-7	R' wave amplitude.lead AVF	ACTIVE	\N	\N	\N
10011-5	R' wave amplitude.lead AVL	ACTIVE	\N	\N	\N
10012-3	R' wave amplitude.lead AVR	ACTIVE	\N	\N	\N
10013-1	R' wave amplitude.lead I	ACTIVE	\N	\N	\N
10014-9	R' wave amplitude.lead II	ACTIVE	\N	\N	\N
10015-6	R' wave amplitude.lead III	ACTIVE	\N	\N	\N
10016-4	R' wave amplitude.lead V1	ACTIVE	\N	\N	\N
10017-2	R' wave amplitude.lead V2	ACTIVE	\N	\N	\N
10018-0	R' wave amplitude.lead V3	ACTIVE	\N	\N	\N
10019-8	R' wave amplitude.lead V4	ACTIVE	\N	\N	\N
10020-6	R' wave amplitude.lead V5	ACTIVE	\N	\N	\N
100213-8	Prostate Cancer Multigene Analysis; Molgen	ACTIVE	2023-03-31	\N	\N
10021-4	R' wave amplitude.lead V6	ACTIVE	\N	\N	\N
10022-2	R' wave duration.lead AVF	ACTIVE	\N	\N	\N
10023-0	R' wave duration.lead AVL	ACTIVE	\N	\N	\N
10024-8	R' wave duration.lead AVR	ACTIVE	\N	\N	\N
1002-5	Anti-Bg	ACTIVE	\N	\N	\N
10025-5	R' wave duration.lead I	ACTIVE	\N	\N	\N
10026-3	R' wave duration.lead II	ACTIVE	\N	\N	\N
10027-1	R' wave duration.lead III	ACTIVE	\N	\N	\N
10028-9	R' wave duration.lead V1	ACTIVE	\N	\N	\N
10029-7	R' wave duration.lead V2	ACTIVE	\N	\N	\N
10030-5	R' wave duration.lead V3	ACTIVE	\N	\N	\N
10031-3	R' wave duration.lead V4	ACTIVE	\N	\N	\N
10032-1	R' wave duration.lead V5	ACTIVE	\N	\N	\N
1003-3	Indirect Antiglobulin Test, Complement Specific	ACTIVE	\N	\N	\N
10033-9	R' wave duration.lead V6	ACTIVE	\N	\N	\N
10034-7	S wave amplitude.lead AVF	ACTIVE	\N	\N	\N
100351-6	Pioglitazone	ACTIVE	2023-03-09	\N	\N
100352-4	Rosiglitazone	ACTIVE	2023-03-09	\N	\N
10035-4	S wave amplitude.lead AVL	ACTIVE	\N	\N	\N
10036-2	S wave amplitude.lead AVR	ACTIVE	\N	\N	\N
10037-0	S wave amplitude.lead I	ACTIVE	\N	\N	\N
100371-4	Titin Ab; IA	ACTIVE	2023-06-09	\N	\N
100383-9	Monkeypox Virus DNA; PCR/NAAT	ACTIVE	2024-05-16	\N	\N
10038-8	S wave amplitude.lead II	ACTIVE	\N	\N	\N
10039-6	S wave amplitude.lead III	ACTIVE	\N	\N	\N
10040-4	S wave amplitude.lead V1	ACTIVE	\N	\N	\N
1004-1	Direct Antiglobulin Test, Complement Specific	ACTIVE	2013-10-18	\N	\N
10041-2	S wave amplitude.lead V2	ACTIVE	\N	\N	\N
10042-0	S wave amplitude.lead V3	ACTIVE	\N	\N	\N
100434-0	Orthopoxvirus.non-variola DNA	ACTIVE	2022-12-15	\N	\N
10043-8	S wave amplitude.lead V4	ACTIVE	\N	\N	\N
10044-6	S wave amplitude.lead V5	ACTIVE	\N	\N	\N
10045-3	S wave amplitude.lead V6	ACTIVE	\N	\N	\N
10046-1	S wave duration.lead AVF	ACTIVE	\N	\N	\N
10047-9	S wave duration.lead AVL	ACTIVE	\N	\N	\N
10048-7	S wave duration.lead AVR	ACTIVE	\N	\N	\N
10049-5	S wave duration.lead I	ACTIVE	\N	\N	\N
10050-3	S wave duration.lead II	ACTIVE	\N	\N	\N
10051-1	S wave duration.lead III	ACTIVE	\N	\N	\N
10052-9	S wave duration.lead V1	ACTIVE	\N	\N	\N
10053-7	S wave duration.lead V2	ACTIVE	\N	\N	\N
10054-5	S wave duration.lead V3	ACTIVE	\N	\N	\N
10055-2	S wave duration.lead V4	ACTIVE	\N	\N	\N
10056-0	S wave duration.lead V5	ACTIVE	\N	\N	\N
10057-8	S wave duration.lead V6	ACTIVE	\N	\N	\N
1005-8	Indirect Antiglobulin Test, IgG Specific	ACTIVE	\N	\N	\N
10058-6	S' wave amplitude.lead AVF	ACTIVE	\N	\N	\N
10059-4	S' wave amplitude.lead AVL	ACTIVE	\N	\N	\N
10060-2	S' wave amplitude.lead AVR	ACTIVE	\N	\N	\N
10061-0	S' wave amplitude.lead I	ACTIVE	\N	\N	\N
10062-8	S' wave amplitude.lead II	ACTIVE	\N	\N	\N
10063-6	S' wave amplitude.lead III	ACTIVE	\N	\N	\N
10064-4	S' wave amplitude.lead V1	ACTIVE	\N	\N	\N
10065-1	S' wave amplitude.lead V2	ACTIVE	\N	\N	\N
1006-6	Direct Antiglobulin Test, IgG Specific	ACTIVE	2013-10-18	\N	\N
10066-9	S' wave amplitude.lead V3	ACTIVE	\N	\N	\N
100670-9	Fetal RHD Gene Allele	ACTIVE	2023-11-03	\N	\N
10067-7	S' wave amplitude.lead V4	ACTIVE	\N	\N	\N
10068-5	S' wave amplitude.lead V5	ACTIVE	\N	\N	\N
10069-3	S' wave amplitude.lead V6	ACTIVE	\N	\N	\N
100696-4	CTNS Related Multigene Analysis; Molgen	ACTIVE	2023-03-31	\N	\N
10070-1	S' wave duration.lead AVF	ACTIVE	\N	\N	\N
100711-1	Borrelia burgdorferi.VlsE1+pepC10 Ab; IA	ACTIVE	2023-03-31	\N	\N
10071-9	S' wave duration.lead AVL	ACTIVE	\N	\N	\N
10072-7	S' wave duration.lead AVR	ACTIVE	\N	\N	\N
10073-5	S' wave duration.lead I	ACTIVE	\N	\N	\N
1007-4	Direct Antiglobulin Test, Poly Specific Reagent	ACTIVE	2021-05-12	\N	\N
10074-3	S' wave duration.lead II	ACTIVE	\N	\N	\N
100745-9	Chloride	ACTIVE	2023-03-09	\N	\N
100746-7	Glucose	ACTIVE	2023-03-09	\N	\N
10075-0	S' wave duration.lead III	ACTIVE	\N	\N	\N
100762-4	HBA2 gene.c.377T>C; Blood	ACTIVE	2023-08-31	\N	\N
10076-8	S' wave duration.lead V1	ACTIVE	\N	\N	\N
10077-6	S' wave duration.lead V2	ACTIVE	\N	\N	\N
10078-4	S' wave duration.lead V3	ACTIVE	\N	\N	\N
10079-2	S' wave duration.lead V4	ACTIVE	\N	\N	\N
100796-2	Thyroglobulin; Fluid	ACTIVE	2025-04-10	\N	\N
100-8	Cefoperazone; MIC	ACTIVE	\N	\N	\N
10080-0	S' wave duration.lead V5	ACTIVE	\N	\N	\N
10081-8	S' wave duration.lead V6	ACTIVE	\N	\N	\N
1008-2	Indirect Antiglobulin Test, Polyspecific	ACTIVE	2013-09-20	\N	\N
10082-6	ST initial amplitude 6 ms.lead AVF	ACTIVE	\N	\N	\N
10083-4	ST initial amplitude 6 ms.lead AVL	ACTIVE	\N	\N	\N
100841-6	Zinc Finger Protein of the Cerebellum 4 Ab; CSF; Line blot	ACTIVE	2023-08-04	\N	\N
10084-2	ST initial amplitude 6 ms.lead AVR	ACTIVE	\N	\N	\N
10085-9	ST initial amplitude 6 ms.lead I	ACTIVE	\N	\N	\N
10086-7	ST initial amplitude 6 ms.lead II	ACTIVE	\N	\N	\N
10087-5	ST initial amplitude 6 ms.lead III	ACTIVE	\N	\N	\N
10088-3	ST initial amplitude 6 ms.lead V1	ACTIVE	\N	\N	\N
100885-3	Parapoxvirus DNA	ACTIVE	2022-12-15	\N	\N
100886-1	Orf Virus DNA	ACTIVE	2022-12-15	\N	\N
100887-9	Pseudocowpox Virus DNA	ACTIVE	2022-12-15	\N	\N
100888-7	Monkeypox Virus Clade II DNA	ACTIVE	2024-05-16	\N	\N
100889-5	Monkeypox Virus Clade I DNA; PCR/NAAT	ACTIVE	2024-05-16	\N	\N
10089-1	ST initial amplitude 6 ms.lead V2	ACTIVE	\N	\N	\N
100891-1	Orthopoxvirus IgG Antibody	ACTIVE	2022-12-15	\N	\N
100892-9	Orthopoxvirus IgM Antibody	ACTIVE	2022-12-15	\N	\N
10090-9	ST initial amplitude 6 ms.lead V3	ACTIVE	\N	\N	\N
10091-7	ST initial amplitude 6 ms.lead V4	ACTIVE	\N	\N	\N
10092-5	ST initial amplitude 6 ms.lead V5	ACTIVE	\N	\N	\N
10093-3	ST initial amplitude 6 ms.lead V6	ACTIVE	\N	\N	\N
10094-1	ST slope.lead AVF	ACTIVE	\N	\N	\N
10095-8	ST slope.lead AVL	ACTIVE	\N	\N	\N
10096-6	ST slope.lead AVR	ACTIVE	\N	\N	\N
10097-4	ST slope.lead I	ACTIVE	\N	\N	\N
10098-2	ST slope.lead II	ACTIVE	\N	\N	\N
10099-0	ST slope.lead III	ACTIVE	\N	\N	\N
100996-8	Neurofilament Light Chain; CSF	ACTIVE	2024-02-09	\N	\N
101003-2	Monkeypox Virus Clade; Sequencing	ACTIVE	2024-05-16	\N	\N
101004-0	Monkeypox Virus Lineage; Sequencing	ACTIVE	2024-05-16	\N	\N
10100-6	ST slope.lead V1	ACTIVE	\N	\N	\N
10101-4	ST slope.lead V2	ACTIVE	\N	\N	\N
10102-2	ST slope.lead V3	ACTIVE	\N	\N	\N
10103-0	ST slope.lead V4	ACTIVE	\N	\N	\N
10104-8	ST slope.lead V5	ACTIVE	\N	\N	\N
10105-5	ST slope.lead V6	ACTIVE	\N	\N	\N
101061-0	Be(a) Ab	ACTIVE	2024-09-26	\N	\N
10106-3	ST wave displacement.end.lead AVF	ACTIVE	\N	\N	\N
101067-7	Cs(b) Ab	ACTIVE	2024-11-21	\N	\N
101068-5	Cs(b) Ag	ACTIVE	2024-11-21	\N	\N
10107-1	ST wave displacement.end.lead AVL	ACTIVE	\N	\N	\N
10108-9	ST wave displacement.end.lead AVR	ACTIVE	\N	\N	\N
10109-7	ST wave displacement.end.lead I	ACTIVE	\N	\N	\N
101098-2	JMH Ag	ACTIVE	2023-12-08	\N	\N
10110-5	ST wave displacement.end.lead II	ACTIVE	\N	\N	\N
10111-3	ST wave displacement.end.lead III	ACTIVE	\N	\N	\N
10112-1	ST wave displacement.end.lead V1	ACTIVE	\N	\N	\N
10113-9	ST wave displacement.end.lead V2	ACTIVE	\N	\N	\N
10114-7	ST wave displacement.end.lead V3	ACTIVE	\N	\N	\N
10115-4	ST wave displacement.end.lead V4	ACTIVE	\N	\N	\N
101155-0	Alpha hydroxyetizolam/Creatinine; Confirm; Urine	ACTIVE	2024-05-16	\N	\N
101156-8	Alpha hydroxyetizolam; Confirm ; Urine	ACTIVE	2024-05-16	\N	\N
10116-2	ST wave displacement.end.lead V5	ACTIVE	\N	\N	\N
10117-0	ST wave displacement.end.lead V6	ACTIVE	\N	\N	\N
101177-4	Free Metanephrine/Creatinine	ACTIVE	2024-05-16	\N	\N
10118-8	ST wave displacement.mid.lead AVF	ACTIVE	\N	\N	\N
10119-6	ST wave displacement.mid.lead AVL	ACTIVE	\N	\N	\N
101201-2	Measles Virus IgG Index; Serum+Cerebrospinal fluid	ACTIVE	2024-05-16	\N	\N
10120-4	ST wave displacement.mid.lead AVR	ACTIVE	\N	\N	\N
10121-2	ST wave displacement.mid.lead I	ACTIVE	\N	\N	\N
10122-0	ST wave displacement.mid.lead II	ACTIVE	\N	\N	\N
101222-8	Meropenem+Vaborbactam; KB	ACTIVE	2023-06-29	\N	\N
101226-9	Recoverin Ab; iB	ACTIVE	2023-05-18	\N	\N
101227-7	Recoverin Ab; CSF; IB	ACTIVE	2023-05-18	\N	\N
101229-3	Zinc Finger Protein of the Cerebellum 4 Ab; IB	ACTIVE	2023-08-04	\N	\N
101230-1	Zinc Finger Protein of the Cerebellum 4 Ab; CSF; IB	ACTIVE	2023-08-04	\N	\N
101233-5	Glutamate Decarboxylase 65 Antibody	ACTIVE	2026-03-26	\N	\N
101235-0	Glial Nuclear Type 1; IB	ACTIVE	2025-07-24	\N	\N
101236-8	Titin Ab; CSF	ACTIVE	2023-06-09	\N	\N
101237-6	Titin Ab	ACTIVE	2023-06-09	\N	\N
10123-8	ST wave displacement.mid.lead III	ACTIVE	\N	\N	\N
101239-2	Mean Chromosome Banding Resolution; Banding	ACTIVE	2025-07-24	\N	\N
1012-4	Anti-Ew	ACTIVE	\N	\N	\N
10124-6	ST wave displacement.mid.lead V1	ACTIVE	\N	\N	\N
101251-7	Dense Fine Speckled 70 Protein antibody	ACTIVE	2025-04-10	\N	\N
10125-3	ST wave displacement.mid.lead V2	ACTIVE	\N	\N	\N
101256-6	Silica Clotting Time	ACTIVE	2026-03-26	\N	\N
101257-4	Silica Clotting Time Excess Phospholipid Actual/Normal	ACTIVE	2026-03-26	\N	\N
10126-1	ST wave displacement.mid.lead V3	ACTIVE	\N	\N	\N
10127-9	ST wave displacement.mid.lead V4	ACTIVE	\N	\N	\N
101281-4	Neurofilament Light Chain; IA	ACTIVE	2024-02-09	\N	\N
10128-7	ST wave displacement.mid.lead V5	ACTIVE	\N	\N	\N
10129-5	ST wave displacement.mid.lead V6	ACTIVE	\N	\N	\N
101297-0	Parainfluenza virus 1+2+3+4 RNA; Throat;  NAA+non-probe	ACTIVE	2023-08-31	\N	\N
10130-3	T' wave amplitude.lead AVF	ACTIVE	\N	\N	\N
101305-1	Plasmodium species DNA; No Probe, Target Amplification	ACTIVE	2026-03-26	\N	\N
10131-1	T' wave amplitude.lead AVL	ACTIVE	\N	\N	\N
10132-9	T' wave amplitude.lead AVR	ACTIVE	\N	\N	\N
10133-7	T' wave amplitude.lead I	ACTIVE	\N	\N	\N
101343-2	Erythrocytes parasite sp infected/Cells; Blood	ACTIVE	2026-02-23	\N	\N
10134-5	T' wave amplitude.lead II	ACTIVE	\N	\N	\N
101345-7	Candida krusei DNA	ACTIVE	2026-01-15	\N	\N
10135-2	T' wave amplitude.lead III	ACTIVE	\N	\N	\N
10136-0	T' wave amplitude.lead V1	ACTIVE	\N	\N	\N
10137-8	T' wave amplitude.lead V2	ACTIVE	\N	\N	\N
10138-6	T' wave amplitude.lead V3	ACTIVE	\N	\N	\N
101387-9	HBA1 and HBA2 Gene Variant Analysis; Molgen	ACTIVE	2025-07-24	\N	\N
10139-4	T' wave amplitude.lead V4	ACTIVE	\N	\N	\N
101397-8	Copy Number Variation Analysis; Sequencing	ACTIVE	2025-07-24	\N	\N
101399-4	Monkeypox Virus & Orthopoxvirus Non-variola DNA; PCR/NAAT	ACTIVE	2024-05-16	\N	\N
10140-2	T' wave amplitude.lead V5	ACTIVE	\N	\N	\N
101403-4	Borrelia burgdorferi.VlsE1+pepC10 IgG+IgM Ab	ACTIVE	2023-03-31	\N	\N
10141-0	T' wave amplitude.lead V6	ACTIVE	\N	\N	\N
10142-8	T wave amplitude.lead AVF	ACTIVE	\N	\N	\N
10143-6	T wave amplitude.lead AVL	ACTIVE	\N	\N	\N
10144-4	T wave amplitude.lead AVR	ACTIVE	\N	\N	\N
10145-1	T wave amplitude.lead I	ACTIVE	\N	\N	\N
10146-9	T wave amplitude.lead II	ACTIVE	\N	\N	\N
101475-2	Creatinine; BldV	ACTIVE	2023-06-09	\N	\N
10147-7	T wave amplitude.lead III	ACTIVE	\N	\N	\N
10148-5	T wave amplitude.lead V1	ACTIVE	\N	\N	\N
10149-3	T wave amplitude.lead V2	ACTIVE	\N	\N	\N
10150-1	T wave amplitude.lead V3	ACTIVE	\N	\N	\N
10151-9	T wave amplitude.lead V4	ACTIVE	\N	\N	\N
10152-7	T wave amplitude.lead V5	ACTIVE	\N	\N	\N
10153-5	T wave amplitude.lead V6	ACTIVE	\N	\N	\N
101557-7	Clostridioides difficile DNA; Stool; PCR/NAAT	ACTIVE	2025-11-26	\N	\N
1015-7	E(w) Ag	ACTIVE	2025-02-13	\N	\N
101588-2	Histoplasma capsulatum+Blastomyces dermatitidis Antigen; IA	ACTIVE	2026-05-28	\N	\N
101589-0	Histoplasma capsulatum+Blastomyces dermatitidis Antigen; IA	ACTIVE	2026-05-28	\N	\N
101-6	Cefoperazone, KB	ACTIVE	\N	\N	\N
10160-0	History of medication use	ACTIVE	\N	\N	\N
10162-6	History of Pregnancies	ACTIVE	\N	\N	\N
101634-4	HBB gene Deletion/Duplication Analysis	ACTIVE	2023-08-31	\N	\N
10167-5	History of surgical procedures	ACTIVE	\N	\N	\N
101792-0	Scanned Laboratory Result	ACTIVE	2023-11-03	\N	\N
101806-8	Beta-Amyloid 42/40; Plas; LC/MS/MS	ACTIVE	2025-01-16	\N	\N
1018-1	Anti-E	ACTIVE	\N	\N	\N
10182-4	History of Travel	ACTIVE	2020-04-27	\N	\N
101940-5	Candida glabrata DNA	ACTIVE	2026-01-15	\N	\N
101976-9	Voltage-gated Calcium Channel P/Q Type Binding Ab; IA	ACTIVE	2024-02-09	\N	\N
102091-6	HBA1 and HBA2 gene Variant Analysis, Amnio Fld/CVS	ACTIVE	2023-08-31	\N	\N
102097-3	Glomerular Filtration Rate/1.73 sq M.predicted; Creatinine, Cystatin C and Urea-based formula	ACTIVE	2024-05-16	\N	\N
1021-5	E Ag	ACTIVE	2021-05-12	\N	\N
10219-4	Surgical Operation Note Preoperative Dx	ACTIVE	2013-09-20	\N	\N
10226-9	Oxygen Content; Intravascular Space	ACTIVE	\N	\N	\N
10229-3	Class	ACTIVE	\N	\N	\N
10230-1	Ejection fraction	ACTIVE	\N	\N	\N
10231-9	Ejection fraction	ACTIVE	\N	\N	\N
10232-7	Oxygen Content	ACTIVE	\N	\N	\N
10233-5	Oxygen Content; Left Atrium	ACTIVE	\N	\N	\N
10234-3	Oxygen Content; Right Atrium	ACTIVE	\N	\N	\N
10235-0	Oxygen Content; Right Atrium High	ACTIVE	\N	\N	\N
10236-8	Oxygen Content; Right Atrium Low	ACTIVE	\N	\N	\N
10237-6	Oxygen Conten; Right Atrium Mid	ACTIVE	\N	\N	\N
10238-4	Oxygen Content; Left Ventricle	ACTIVE	\N	\N	\N
10239-2	Oxygen Content; Right Ventricle Outflow Tract	ACTIVE	\N	\N	\N
102-4	Cefoperazone, SBT	ACTIVE	\N	\N	\N
10240-0	Oxygen Content; Right Ventricle	ACTIVE	\N	\N	\N
10241-8	Oxygen Content; Coronary Sinus	ACTIVE	\N	\N	\N
10242-6	Oxygen Content; Ductus Arteriosus	ACTIVE	\N	\N	\N
10243-4	Oxygen Content; Inferior Vena Cava	ACTIVE	\N	\N	\N
10244-2	Oxygen Content; Left Pulmonary Artery	ACTIVE	\N	\N	\N
10245-9	Oxygen Content; Main Pulmonary Artery	ACTIVE	\N	\N	\N
10246-7	Oxygen Content; Right Pulmonary Artery	ACTIVE	\N	\N	\N
10247-5	Oxygen Content; Pulmonary Wedge	ACTIVE	\N	\N	\N
10248-3	Oxygen Content; Superior Vena Cava	ACTIVE	\N	\N	\N
1024-9	Anti-Fy(a)	ACTIVE	\N	\N	\N
102580-8	Sage IgE RAST	ACTIVE	2025-01-16	\N	\N
1027-2	Fy sup(a) Ag	ACTIVE	2021-05-12	\N	\N
102811-7	Sage IgG Ab	ACTIVE	2025-01-16	\N	\N
1030-6	Fy(b) Ab	ACTIVE	2024-11-21	\N	\N
103160-8	CD33.Recipient Derived/CD33 - After Bone Marrow Transplant; Blood	ACTIVE	2025-06-16	\N	\N
103161-6	CD33 Cells; Donor Blood	ACTIVE	2024-05-16	\N	\N
103178-0	Enterovirus D68 RNA; Respiratory System Specimen; PCR/NAAT	ACTIVE	2024-05-16	\N	\N
103-2	Ceforanide, MLC	ACTIVE	\N	\N	\N
10327-5	Eosinophils/100 Leukocytes; Sputum; Manual	ACTIVE	2013-10-04	\N	\N
10328-3	Lymphocytes/100 Leukocytes; CSF; Manual	ACTIVE	2013-10-04	\N	\N
10329-1	Monocytes/100 Leukocytes; CSF; Manual	ACTIVE	2013-10-04	\N	\N
1033-0	Fy(b) Ag	ACTIVE	2024-11-21	\N	\N
10330-9	Monocytes/100 Leukocytes; Fluid; Manual	ACTIVE	2013-10-04	\N	\N
10331-7	Rh Group	ACTIVE	\N	\N	\N
10332-5	Cortisol Pre 250 ug Corticotropin [ACTH] IM	ACTIVE	\N	\N	\N
10333-3	Appearance; CSF	ACTIVE	2015-06-19	\N	\N
10334-1	Cancer Antigen 125	ACTIVE	\N	\N	\N
10335-8	Colour	ACTIVE	\N	\N	\N
10336-6	Gonadotropin Peptide; Urine	ACTIVE	\N	\N	\N
10337-4	Procollagen Peptide Type 1	ACTIVE	\N	\N	\N
10338-2	Barbiturates	ACTIVE	\N	\N	\N
10339-0	Fluoxetine + Norfluoxetine	ACTIVE	\N	\N	\N
10340-8	Molindone	ACTIVE	\N	\N	\N
10341-6	Norpropoxyphene	ACTIVE	\N	\N	\N
10342-4	Sulfamethoxazole	ACTIVE	\N	\N	\N
10343-2	Temazepam	ACTIVE	\N	\N	\N
10344-0	Tranylcypromine	ACTIVE	\N	\N	\N
10345-7	Trihexyphenidyl; Urine	ACTIVE	\N	\N	\N
10346-5	Hemoglobin A; Blood	ACTIVE	\N	\N	\N
10347-3	Babesia microti	ACTIVE	\N	\N	\N
1034-8	Fetal Cell Screen	ACTIVE	\N	\N	\N
10348-1	Bordetella parapertussis antibody	ACTIVE	\N	\N	\N
10349-9	Brucella species antibody	ACTIVE	\N	\N	\N
10350-7	Herpes simplex virus antibody IgM	ACTIVE	\N	\N	\N
10351-5	HIV 1 RNA	ACTIVE	\N	\N	\N
10352-3	Genital; Aerobic Culture	ACTIVE	2015-06-05	\N	\N
10353-1	Nose; Aerobic Culture	ACTIVE	2015-06-05	\N	\N
